,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,log10_pvalue
GEM,0.9722,0.027800000000000047,3.5545251744885458,5.1081605e-07,5.5273877e-06,0.0,0.25,-3.5380228,-3.6034222,2.408788,-10.330885,5.7420044,0.0007782101,0.015384615,0.0007782101167315176,0.010256410256410256,0.009133922,0.048469733,True,NK cell vs cDC,NK cell,cDC,1.555955204081923
TTC7A,0.9722,0.027800000000000047,3.5545251744885458,5.442654e-05,0.00015314514,0.0,0.25,-1.5744282,-1.5594826,0.7826087,-4.9970474,1.9824429,0.033463035,0.42051283,0.03268482490272374,0.3076923076923077,0.46313444,1.4364038,True,NK cell vs cDC,NK cell,cDC,1.555955204081923
PIGL,0.9718,0.028200000000000003,3.539827699708052,4.0609822e-05,1.3550183e-05,0.0,0.25,1.6293993,1.6556234,0.918908,-3.739994,4.825469,0.022568094,0.03076923,0.02178988326848249,0.03076923076923077,0.31370163,0.09057473,True,NK cell vs cDC,NK cell,cDC,1.5497508916806388
TFAP2E,0.9718,0.028200000000000003,3.539827699708052,4.8847087e-06,9.427254e-07,0.0,0.25,2.4104626,2.4651394,1.4201889,-3.9890785,7.276618,0.0046692607,0.0,0.004669260700389105,0.0,0.055507537,0.0,True,NK cell vs cDC,NK cell,cDC,1.5497508916806388
IL10RB-DT,0.9718,0.028200000000000003,3.539827699708052,1.3501283e-05,5.6108016e-05,0.0,0.25,-2.1038914,-2.1538572,1.1936237,-5.9227457,3.4305067,0.006225681,0.12820514,0.0062256809338521405,0.11794871794871795,0.07612436,0.47707257,True,NK cell vs cDC,NK cell,cDC,1.5497508916806388
AL158212.3,0.9714,0.02859999999999996,3.525331272729971,1.4436027e-05,3.2768662e-06,0.0,0.25,2.2784681,2.2291965,1.3378367,-2.8505096,7.4975147,0.0070038913,0.010256411,0.007003891050583658,0.010256410256410256,0.14342697,0.04009351,True,NK cell vs cDC,NK cell,cDC,1.5436339668709576
AATK,0.9714,0.02859999999999996,3.525331272729971,9.005072e-06,3.842863e-05,0.0,0.25,-2.4804168,-2.5402923,1.4393377,-7.1504087,4.4905376,0.0038910506,0.08717949,0.0038910505836575876,0.08717948717948718,0.077622704,0.41511345,True,NK cell vs cDC,NK cell,cDC,1.5436339668709576
HOXA9,0.971,0.029000000000000026,3.5110303037759842,1.8798909e-06,1.5372485e-05,0.0,0.25,-3.6020753,-3.6488314,2.655891,-14.332609,7.8922014,0.0007782101,0.06666667,0.0007782101167315176,0.05641025641025641,0.012274608,0.19339819,True,NK cell vs cDC,NK cell,cDC,1.5376020021010435
TNPO2,0.9708,0.029200000000000004,3.5039514324132983,5.8085625e-05,1.8258794e-05,0.0,0.25,1.7154107,1.7643242,0.89402056,-2.8262606,4.6347094,0.029571984,0.056410257,0.028793774319066146,0.05128205128205128,0.42321217,0.1788382,True,NK cell vs cDC,NK cell,cDC,1.5346171485515816
SLC41A1,0.9704,0.02959999999999996,3.4899336687670752,1.8198089e-05,3.7178754e-06,0.0,0.25,2.6922002,2.770443,1.6196556,-3.7689028,7.3929214,0.0116731515,0.0051282053,0.010894941634241245,0.005128205128205128,0.14742394,0.013431653,True,NK cell vs cDC,NK cell,cDC,1.528708288941062
PARD6G-AS1,0.97,0.030000000000000027,3.476098366811273,6.104391e-07,4.5122692e-06,0.0,0.25,-2.9402769,-3.0013733,1.8528676,-8.950846,3.7662945,0.0,0.015384615,0.0,0.015384615384615385,0.0,0.06748922,True,NK cell vs cDC,NK cell,cDC,1.5228787452803372
AC124248.1,0.9694,0.03059999999999996,3.4556769979712687,6.3684142e-06,2.4421506e-05,0.0,0.25,-2.1786673,-2.2254782,1.2087692,-6.2617054,3.2614956,0.0031128405,0.06666667,0.0031128404669260703,0.06666666666666667,0.030020757,0.22882798,True,NK cell vs cDC,NK cell,cDC,1.5142785735184205
GPR89B,0.9694,0.03059999999999996,3.4556769979712687,5.2715222e-05,1.5732034e-05,0.0,0.25,1.7185303,1.7691936,0.85129946,-2.2714891,4.378314,0.032684825,0.051282052,0.03268482490272374,0.05128205128205128,0.5213858,0.19397652,True,NK cell vs cDC,NK cell,cDC,1.5142785735184205
OBSL1,0.969,0.031000000000000028,3.4422770951449433,4.1498473e-07,3.2627247e-06,0.0,0.25,-3.075789,-3.1103497,2.2205536,-10.857681,7.3953705,0.0,0.010256411,0.0,0.010256410256410256,0.0,0.023502123,True,NK cell vs cDC,NK cell,cDC,1.508638306165727
AL365181.1,0.9688,0.031200000000000006,3.4356397872327245,5.266626e-07,2.3225396e-06,0.0,0.25,-2.158976,-2.2360506,1.3280259,-7.467598,4.067402,0.0,0.0051282053,0.0,0.005128205128205128,0.0,0.035004813,True,NK cell vs cDC,NK cell,cDC,1.5058454059815571
IL15RA,0.9686,0.031399999999999983,3.429043528907814,4.266894e-05,7.2032667e-06,0.0,0.25,2.70378,2.7784982,1.6179379,-2.9181137,8.587289,0.028015565,0.010256411,0.02801556420233463,0.010256410256410256,0.39038435,0.029426731,True,NK cell vs cDC,NK cell,cDC,1.5030703519267854
RDH11,0.9682,0.03180000000000005,3.4159720835825462,0.00022020335,7.567854e-05,0.0,0.25,1.5305302,1.5661612,0.8621106,-2.7784805,4.776104,0.14319067,0.1897436,0.13073929961089495,0.17435897435897435,2.185892,0.62509894,True,NK cell vs cDC,NK cell,cDC,1.4975728800155665
LONRF1,0.9678,0.032200000000000006,3.4030587015826104,1.8126828e-05,5.1256233e-05,0.0,0.25,-1.579357,-1.5826354,0.8765692,-5.3215256,3.345152,0.012451362,0.13333334,0.012451361867704281,0.11282051282051282,0.2431871,0.5025779,True,NK cell vs cDC,NK cell,cDC,1.492144128304169
BSPRY,0.9678,0.032200000000000006,3.4030587015826104,1.683058e-05,2.4921196e-06,0.0,0.25,2.8087103,2.861083,1.9171728,-5.360409,9.21341,0.010116732,0.0,0.010116731517509728,0.0,0.1369819,0.0,True,NK cell vs cDC,NK cell,cDC,1.492144128304169
FAM201A,0.9674,0.03259999999999996,3.390299475604788,2.0137545e-06,2.1037401e-07,0.0,0.25,3.3604429,3.6144667,2.3010604,-7.682516,10.426936,0.0007782101,0.0,0.0007782101167315176,0.0,0.015410102,0.0,True,NK cell vs cDC,NK cell,cDC,1.4867823999320615
MCC,0.9674,0.03259999999999996,3.390299475604788,5.4222487e-06,1.5387944e-06,0.0,0.25,2.3620186,2.4797382,1.8276598,-7.791545,7.646014,0.0015564202,0.0,0.0015564202334630351,0.0,0.026509812,0.0,True,NK cell vs cDC,NK cell,cDC,1.4867823999320615
TBC1D17,0.9672,0.03280000000000005,3.3839764893716042,0.00010005334,2.9642808e-05,0.0,0.25,1.8021448,1.9137397,1.0751692,-3.625187,4.7992725,0.07159533,0.082051285,0.07003891050583658,0.08205128205128205,1.0560856,0.3210255,True,NK cell vs cDC,NK cell,cDC,1.4841261562883203
PPAT,0.967,0.03300000000000003,3.377690641297818,4.894311e-05,1.2780456e-05,0.0,0.25,1.9027926,1.9563832,1.0618442,-3.7652903,5.5954714,0.035019454,0.03076923,0.03346303501945525,0.02564102564102564,0.4106613,0.0914425,True,NK cell vs cDC,NK cell,cDC,1.481486060122112
SLC1A5,0.967,0.03300000000000003,3.377690641297818,5.2434516e-05,0.00018999958,0.0,0.25,-1.9123355,-1.8813992,1.1394539,-7.1802435,3.712554,0.037354086,0.6,0.034241245136186774,0.4153846153846154,0.48991767,2.178096,True,NK cell vs cDC,NK cell,cDC,1.481486060122112
CREG1,0.9664,0.03359999999999996,3.359051472940072,6.17706e-05,0.00023288395,0.0,0.25,-1.9327664,-1.9488597,1.0125355,-5.0138807,2.425828,0.031906616,0.63589746,0.030350194552529183,0.4,0.45484188,2.1969867,True,NK cell vs cDC,NK cell,cDC,1.4736607226101563
AMOT,0.9662,0.03380000000000005,3.3529097641232113,9.006297e-06,2.3433133e-06,0.0,0.25,1.8987674,1.949625,1.0530452,-2.6635532,6.0088997,0.007782101,0.015384615,0.007782101167315175,0.010256410256410256,0.107905716,0.07134755,True,NK cell vs cDC,NK cell,cDC,1.4710832997223446
AC124242.1,0.966,0.03400000000000003,3.3468030258307184,1.7200615e-06,8.17028e-06,0.0,0.25,-2.6031735,-2.6412287,1.8307773,-7.9819603,7.543152,0.0007782101,0.025641026,0.0007782101167315176,0.02564102564102564,0.011990911,0.09268697,True,NK cell vs cDC,NK cell,cDC,1.4685210829577444
ZNF546,0.9656,0.034399999999999986,3.3346928250625925,2.9864088e-05,7.4988825e-06,0.0,0.25,2.1396737,2.2265282,1.4791434,-4.3517513,7.086547,0.014785992,0.0051282053,0.014785992217898832,0.005128205128205128,0.19298205,0.0400016,True,NK cell vs cDC,NK cell,cDC,1.46344155742847
SARAF,0.9652,0.03480000000000005,3.322717669974713,0.0031789993,0.001282404,0.0,0.25,1.2895674,1.3054059,0.6738543,-1.9819188,3.1804714,2.0871596,3.5589743,0.8295719844357977,0.9025641025641026,30.021292,13.053166,True,NK cell vs cDC,NK cell,cDC,1.4584207560534184
RBBP8,0.9652,0.03480000000000005,3.322717669974713,1.1786066e-05,3.8355993e-05,0.0,0.25,-1.8758866,-1.8793387,1.0496695,-6.8116293,2.1572351,0.010116732,0.10769231,0.010116731517509728,0.1076923076923077,0.11850334,0.35168123,True,NK cell vs cDC,NK cell,cDC,1.4584207560534184
PDCD1LG2,0.965,0.03500000000000003,3.316779764498021,8.1208657e-07,2.9146786e-06,0.0,0.25,-2.036452,-2.0599422,1.2189649,-8.049763,3.4207935,0.0007782101,0.010256411,0.0007782101167315176,0.010256410256410256,0.009595686,0.041333906,True,NK cell vs cDC,NK cell,cDC,1.4559319556497239
UCK2,0.9648,0.03520000000000001,3.310874469642843,2.1067019e-05,8.837267e-05,0.0,0.25,-2.435123,-2.453331,1.5224698,-7.6637554,4.391615,0.017898833,0.24615385,0.017120622568093387,0.20512820512820512,0.19155537,0.9959741,True,NK cell vs cDC,NK cell,cDC,1.4534573365218688
CCDC13,0.9644,0.035599999999999965,3.2991602379193363,1.2444044e-06,5.8959636e-06,0.0,0.25,-2.6387713,-2.622137,1.7085236,-8.542461,3.2957458,0.0,0.015384615,0.0,0.015384615384615385,0.0,0.05723027,True,NK cell vs cDC,NK cell,cDC,1.4485500020271254
ANKRD39,0.9642,0.035800000000000054,3.293350579606588,0.00014654327,4.0688363e-05,0.0,0.25,1.9609118,2.0510192,1.0518185,-2.7138042,5.193427,0.09883268,0.102564104,0.09182879377431907,0.08717948717948718,1.4372418,0.3403992,True,NK cell vs cDC,NK cell,cDC,1.446116973356125
KLF8,0.9642,0.035800000000000054,3.293350579606588,5.0044478e-06,2.2805854e-05,0.0,0.25,-2.2293859,-2.3282976,1.4440789,-6.8726635,5.318801,0.0031128405,0.082051285,0.0031128404669260703,0.08205128205128205,0.036069315,0.2741453,True,NK cell vs cDC,NK cell,cDC,1.446116973356125
LDOC1,0.964,0.03600000000000003,3.2875720887501396,1.8245899e-05,5.961446e-06,0.0,0.25,1.9215188,2.0343456,1.2610117,-4.4594784,5.8079567,0.010894942,0.015384615,0.010894941634241245,0.015384615384615385,0.14469604,0.1112987,True,NK cell vs cDC,NK cell,cDC,1.4436974992327123
FADS2,0.964,0.03600000000000003,3.2875720887501396,1.5277345e-05,2.6941365e-05,0.0,0.25,-2.7808433,-3.051643,2.8862364,-11.29151,9.425749,0.008560311,0.07692308,0.007782101167315175,0.06666666666666667,0.10244707,0.26175544,True,NK cell vs cDC,NK cell,cDC,1.4436974992327123
EML2-AS1,0.9634,0.036599999999999966,3.270420190944699,3.1009644e-05,8.422953e-06,0.0,0.25,1.7373285,1.7830977,0.9907226,-2.2782192,5.2054577,0.020233463,0.03076923,0.020233463035019456,0.03076923076923077,0.28335518,0.09914048,True,NK cell vs cDC,NK cell,cDC,1.4365189146055897
SLC23A3,0.9632,0.036800000000000055,3.264762968022636,4.4288377e-06,7.041874e-07,0.0,0.25,2.378284,2.4092455,1.4823085,-3.7175522,7.1652,0.0038910506,0.0,0.0038910505836575876,0.0,0.039475605,0.0,True,NK cell vs cDC,NK cell,cDC,1.4341521813264817
PITPNB,0.9632,0.036800000000000055,3.264762968022636,0.00017628993,7.9667414e-05,0.0,0.25,1.1970245,1.2149172,0.687089,-2.2569084,4.0083447,0.123735406,0.2,0.11673151750972763,0.17435897435897435,1.7164865,0.69215935,True,NK cell vs cDC,NK cell,cDC,1.4341521813264817
PPP2R3A,0.962,0.038000000000000034,3.23142803817647,9.2582795e-06,2.4194094e-06,0.0,0.25,1.9138019,1.9127016,1.1469817,-2.3230705,5.6498203,0.0046692607,0.0051282053,0.004669260700389105,0.005128205128205128,0.059556026,0.017383747,True,NK cell vs cDC,NK cell,cDC,1.4202164033831894
CCHCR1,0.9618,0.03820000000000001,3.225970761848134,4.3052623e-05,1.1807493e-05,0.0,0.25,1.9227859,1.9352546,1.0983193,-2.4138908,5.5509834,0.023346303,0.035897437,0.023346303501945526,0.035897435897435895,0.3066615,0.10550259,True,NK cell vs cDC,NK cell,cDC,1.417936637088291
MBLAC2,0.9614,0.03859999999999997,3.2151380303232497,2.1396612e-05,6.6888733e-06,0.0,0.25,1.7261924,1.7778444,1.0622891,-3.701645,6.1179667,0.013229572,0.010256411,0.013229571984435798,0.010256410256410256,0.20487683,0.09802706,True,NK cell vs cDC,NK cell,cDC,1.4134126953282453
CDKN2AIPNL,0.9608,0.03920000000000001,3.199089279275342,0.00018212051,6.287764e-05,0.0,0.25,1.4735634,1.5046101,0.7698419,-2.060852,3.9027567,0.101167314,0.14871795,0.09649805447470818,0.14871794871794872,1.5230349,0.5595617,True,NK cell vs cDC,NK cell,cDC,1.4067139329795426
NPR3,0.9608,0.03920000000000001,3.199089279275342,2.0621479e-07,7.6887653e-07,0.0,0.25,-2.8414724,-2.9214907,2.3578699,-10.215715,6.140028,0.0,0.0,0.0,0.0,0.0,0.0,True,NK cell vs cDC,NK cell,cDC,1.4067139329795426
AC025253.2,0.9602,0.03979999999999995,3.1832744429646964,2.1780497e-06,2.8295472e-07,0.0,0.25,2.8096635,2.8356295,2.0160227,-4.9236526,9.813261,0.0007782101,0.0,0.0007782101167315176,0.0,0.0054155192,0.0,True,NK cell vs cDC,NK cell,cDC,1.4001169279263128
GPNMB,0.9602,0.03979999999999995,3.1832744429646964,8.84928e-07,3.7530087e-06,0.0,0.25,-2.2697444,-2.2406158,1.628978,-8.220232,5.593508,0.0,0.0051282053,0.0,0.005128205128205128,0.0,0.015649086,True,NK cell vs cDC,NK cell,cDC,1.4001169279263128
RPS6KA2,0.96,0.040000000000000036,3.1780535907646423,4.4680155e-06,2.2164682e-05,0.0,0.25,-2.2294614,-2.270925,1.4947466,-7.482486,4.149975,0.0031128405,0.07692308,0.0031128404669260703,0.07179487179487179,0.03940583,0.2918402,True,NK cell vs cDC,NK cell,cDC,1.3979400086720373
LINC00896,0.9596,0.04039999999999999,3.167686508894722,5.430699e-06,9.3533527e-07,0.0,0.25,2.5509276,2.5065327,1.7205871,-3.5675087,8.557786,0.0015564202,0.0,0.0015564202334630351,0.0,0.045906737,0.0,True,NK cell vs cDC,NK cell,cDC,1.393618634889395
MED15,0.9594,0.04059999999999997,3.16253978657807,0.00028359954,0.000104739236,0.0,0.25,1.4538755,1.4850111,0.76481694,-2.1573887,4.0010157,0.19688717,0.2769231,0.17821011673151751,0.2358974358974359,2.7764843,0.9505793,True,NK cell vs cDC,NK cell,cDC,1.3914739664228062
AL360020.1,0.9588,0.041200000000000014,3.1472440139160347,3.8121016e-06,5.5574276e-07,0.0,0.25,2.4337902,2.4886007,1.7218891,-4.091173,9.47827,0.0038910506,0.0051282053,0.0038910505836575876,0.005128205128205128,0.039167304,0.01427674,True,NK cell vs cDC,NK cell,cDC,1.3851027839668653
ITGAM,0.9586,0.04139999999999999,3.1421927747802774,0.00026967455,4.7435093e-05,0.0,0.25,2.4555671,2.568233,1.998276,-5.6247826,8.394746,0.16964981,0.102564104,0.15252918287937745,0.09743589743589744,2.6415942,0.6093074,True,NK cell vs cDC,NK cell,cDC,1.3829996588791011
S100A9,0.9582,0.04179999999999995,3.132159956120126,0.0011829921,0.012059095,0.0,0.25,-2.595316,-2.7623754,2.1890945,-8.056114,6.741258,0.7774319,26.646154,0.4132295719844358,0.9025641025641026,10.30346,123.568115,True,NK cell vs cDC,NK cell,cDC,1.3788237182249654
TNFRSF8,0.9582,0.04179999999999995,3.132159956120126,2.3680302e-06,7.819189e-06,0.0,0.25,-2.553542,-2.596301,2.053542,-9.915264,8.351477,0.0,0.03076923,0.0,0.03076923076923077,0.0,0.11703872,True,NK cell vs cDC,NK cell,cDC,1.3788237182249654
SHB,0.958,0.04200000000000004,3.127177932030695,1.1001033e-06,4.599595e-06,0.0,0.25,-2.1195905,-2.1312008,1.3820913,-6.704691,2.9383812,0.0007782101,0.0051282053,0.0007782101167315176,0.005128205128205128,0.012027976,0.014626941,True,NK cell vs cDC,NK cell,cDC,1.3767507096020992
DDX5,0.9576,0.04239999999999999,3.1172815665995963,0.0064921724,0.0031216638,0.0,0.25,1.0586286,1.0644088,0.5188381,-0.9489422,3.1538773,4.9392996,8.292308,0.977431906614786,0.9743589743589743,74.01651,31.50766,True,NK cell vs cDC,NK cell,cDC,1.3726341434072675
AL451166.1,0.9576,0.04239999999999999,3.1172815665995963,5.3163234e-07,2.2046245e-06,0.0,0.25,-2.232764,-2.198328,1.5417008,-8.200167,4.4056187,0.0,0.0,0.0,0.0,0.0,0.0,True,NK cell vs cDC,NK cell,cDC,1.3726341434072675
ASIP,0.9574,0.04259999999999997,3.112366799386283,3.7331642e-07,4.4730627e-06,0.0,0.25,-2.9138474,-2.8576965,2.563755,-13.7029085,7.1829433,0.0,0.0051282053,0.0,0.005128205128205128,0.0,0.02295526,True,NK cell vs cDC,NK cell,cDC,1.3705904008972813
ZNF430,0.9572,0.04279999999999995,3.1074740302487736,0.00013224038,4.967719e-05,0.0,0.25,1.509006,1.5522246,1.0202909,-3.469448,4.9948606,0.10972763,0.16923077,0.10272373540856031,0.15897435897435896,1.6169008,0.6309651,True,NK cell vs cDC,NK cell,cDC,1.3685562309868284
FBXW8,0.9568,0.043200000000000016,3.0977536669163523,2.2790682e-05,8.055635e-06,0.0,0.25,1.596342,1.6542907,1.0533447,-3.251566,5.2759714,0.014007783,0.020512821,0.014007782101167316,0.020512820512820513,0.21169265,0.09576168,True,NK cell vs cDC,NK cell,cDC,1.3645162531850878
MAGEF1,0.9568,0.043200000000000016,3.0977536669163523,9.356421e-05,0.00024588144,0.0,0.25,-1.474416,-1.536983,0.8853773,-4.7508593,2.138811,0.051361866,0.6,0.05058365758754864,0.4307692307692308,0.7054645,2.2657702,True,NK cell vs cDC,NK cell,cDC,1.3645162531850878
LTB,0.9566,0.043399999999999994,3.0929256701788073,0.002989653,0.000468572,0.0,0.25,2.434005,2.5916228,2.2128906,-6.2286816,8.789646,2.392996,1.0666667,0.6186770428015564,0.5435897435897435,32.868183,4.000419,True,NK cell vs cDC,NK cell,cDC,1.3625102704874894
XKR9,0.9566,0.043399999999999994,3.0929256701788073,6.3502102e-06,1.337316e-06,0.0,0.25,2.127534,2.1667805,1.4552569,-4.4379253,7.201746,0.0031128405,0.0,0.0031128404669260703,0.0,0.03914206,0.0,True,NK cell vs cDC,NK cell,cDC,1.3625102704874894
IFT88,0.956,0.04400000000000004,3.078568062320689,4.129167e-05,1.5224571e-05,0.0,0.25,1.5312326,1.6116805,0.9447962,-3.0108995,4.379672,0.026459144,0.041025642,0.026459143968871595,0.035897435897435895,0.39253208,0.18722598,True,NK cell vs cDC,NK cell,cDC,1.3565473235138121
CNNM2,0.9554,0.04459999999999997,3.0643960281814424,2.8903663e-05,8.7857325e-06,0.0,0.25,1.7761164,1.8441176,1.1155857,-3.025464,5.007575,0.014785992,0.020512821,0.014785992217898832,0.020512820512820513,0.22441503,0.05450923,True,NK cell vs cDC,NK cell,cDC,1.3506651412878583
AC105105.1,0.9552,0.04479999999999995,3.0597123904721504,1.0655083e-06,4.4932826e-06,0.0,0.25,-2.385021,-2.4032087,1.8098048,-9.737492,4.349804,0.0,0.0051282053,0.0,0.005128205128205128,0.0,0.018038006,True,NK cell vs cDC,NK cell,cDC,1.3487219860018564
LINC01765,0.9552,0.04479999999999995,3.0597123904721504,4.1334147e-06,6.284849e-07,0.0,0.25,2.4372673,2.4457264,1.6607924,-4.148548,8.023185,0.0038910506,0.0,0.0038910505836575876,0.0,0.057921395,0.0,True,NK cell vs cDC,NK cell,cDC,1.3487219860018564
TSC2,0.9544,0.045599999999999974,3.041174945442932,0.00022712626,9.539682e-05,0.0,0.25,1.2751251,1.3363695,0.7453117,-2.4390392,3.878274,0.14474708,0.25128207,0.1369649805447471,0.2205128205128205,2.1938443,1.0765924,True,NK cell vs cDC,NK cell,cDC,1.3410351573355652
SCART1,0.9544,0.045599999999999974,3.041174945442932,8.867795e-06,9.348757e-07,0.0,0.25,2.50119,2.4602098,2.0687957,-5.3149033,10.184543,0.007782101,0.0,0.007782101167315175,0.0,0.09901896,0.0,True,NK cell vs cDC,NK cell,cDC,1.3410351573355652
AC111182.1,0.9544,0.045599999999999974,3.041174945442932,3.1157062e-05,7.2314724e-06,0.0,0.25,1.9713416,2.0270076,1.1998549,-3.1255007,5.8210535,0.021011673,0.03076923,0.020233463035019456,0.03076923076923077,0.31359467,0.09739633,True,NK cell vs cDC,NK cell,cDC,1.3410351573355652
MAN2B2,0.954,0.04600000000000004,3.03202206805009,8.190177e-05,3.1159518e-05,0.0,0.25,1.452984,1.4718933,0.79580164,-1.6526365,4.1681986,0.054474708,0.06666667,0.053696498054474705,0.06666666666666667,0.7942368,0.33665445,True,NK cell vs cDC,NK cell,cDC,1.3372421683184255
AC245164.2,0.9536,0.0464,3.0229446320482345,1.920879e-06,6.999244e-06,0.0,0.25,-2.2858572,-2.4412699,2.3458545,-10.550013,8.443682,0.0007782101,0.015384615,0.0007782101167315176,0.010256410256410256,0.0091446545,0.054157976,True,NK cell vs cDC,NK cell,cDC,1.3334820194451191
ADIPOR2,0.9534,0.046599999999999975,3.0184337975356508,0.0001062838,4.1807845e-05,0.0,0.25,1.3662804,1.3973918,0.78162366,-2.8128605,3.8574486,0.06303502,0.102564104,0.06147859922178988,0.10256410256410256,1.0076222,0.41919494,True,NK cell vs cDC,NK cell,cDC,1.33161408331
AC006027.1,0.9532,0.04679999999999995,3.0139413391167738,2.0018929e-06,5.617947e-07,0.0,0.25,2.022899,2.2106037,1.8805608,-6.2225275,7.3146086,0.0015564202,0.0,0.0015564202334630351,0.0,0.029015021,0.0,True,NK cell vs cDC,NK cell,cDC,1.3297541469258765
LUZP1,0.953,0.04700000000000004,3.0094670996713875,0.00012657998,4.7946214e-05,0.0,0.25,1.3596597,1.3867016,0.69159937,-1.5490322,3.7752285,0.07859922,0.14358975,0.07626459143968872,0.13333333333333333,1.1870846,0.4942961,True,NK cell vs cDC,NK cell,cDC,1.3279021420642823
HESX1,0.9528,0.04720000000000002,3.005010924080578,4.4529028e-07,1.5940269e-06,0.0,0.25,-2.1996608,-2.235178,1.5105779,-7.7180023,3.3799038,0.0,0.0051282053,0.0,0.005128205128205128,0.0,0.013752226,True,NK cell vs cDC,NK cell,cDC,1.326058001365912
PRSS21,0.9526,0.0474,3.0005726591928727,2.8725373e-05,7.883329e-06,0.0,0.25,1.977268,2.0570612,1.5236198,-4.248212,6.8259287,0.020233463,0.015384615,0.019455252918287938,0.015384615384615385,0.28408685,0.039638154,True,NK cell vs cDC,NK cell,cDC,1.324221658325915
COCH,0.9524,0.047599999999999976,2.996152153791112,7.1474856e-06,3.1920124e-06,0.0,0.25,1.8067198,1.9276371,1.6775249,-7.0474606,6.9897404,0.005447471,0.0,0.005447470817120622,0.0,0.074353226,0.0,True,NK cell vs cDC,NK cell,cDC,1.3223930472795071
ZNF124,0.9524,0.047599999999999976,2.996152153791112,3.591409e-05,8.846208e-05,0.0,0.25,-1.3775449,-1.4142227,0.77282596,-3.7594566,3.220272,0.024902724,0.25641027,0.024902723735408562,0.22564102564102564,0.49311727,0.8505796,True,NK cell vs cDC,NK cell,cDC,1.3223930472795071
AC073283.1,0.9522,0.047799999999999954,2.9917492585600054,3.0429628e-06,1.0399698e-05,0.0,0.25,-2.0785751,-2.0549192,1.3821083,-7.315874,2.9680386,0.0015564202,0.041025642,0.0015564202334630351,0.041025641025641026,0.017438196,0.63338715,True,NK cell vs cDC,NK cell,cDC,1.3205721033878814
SHLD3,0.952,0.04800000000000004,2.987363826054364,4.6238525e-05,1.5991722e-05,0.0,0.25,1.5214107,1.5193148,0.92450744,-2.4132805,5.4716215,0.031906616,0.035897437,0.031906614785992216,0.035897435897435895,0.49683616,0.13469239,True,NK cell vs cDC,NK cell,cDC,1.3187587626244124
C12orf45,0.9516,0.0484,2.978644768603285,8.7877175e-05,0.00024157258,0.0,0.25,-1.4217304,-1.4629612,0.8219533,-4.6921167,1.8952703,0.05214008,0.6666667,0.047470817120622566,0.4307692307692308,0.72841203,2.199113,True,NK cell vs cDC,NK cell,cDC,1.3151546383555874
UBQLN4,0.9514,0.04859999999999998,2.974310857841264,5.1720835e-05,1.4799423e-05,0.0,0.25,1.7370467,1.7337565,1.063564,-2.0184965,6.084092,0.031906616,0.035897437,0.031906614785992216,0.035897435897435895,0.47245795,0.10946356,True,NK cell vs cDC,NK cell,cDC,1.3133637307377068
SCMH1,0.951,0.049000000000000044,2.9656935708683982,2.9790917e-05,1.0015136e-05,0.0,0.25,1.7381935,1.8062043,1.2395855,-3.744794,5.8486986,0.020233463,0.03076923,0.020233463035019456,0.03076923076923077,0.3214638,0.08908429,True,NK cell vs cDC,NK cell,cDC,1.309803919971486
PJA1,0.951,0.049000000000000044,2.9656935708683982,6.74407e-05,2.2136566e-05,0.0,0.25,1.6277484,1.6565037,1.0341939,-3.484006,5.365755,0.044357978,0.071794875,0.0443579766536965,0.07179487179487179,0.59670484,0.32907784,True,NK cell vs cDC,NK cell,cDC,1.309803919971486
TMA7,0.9506,0.0494,2.9571427480765746,0.0044177496,0.0026583706,0.0,0.25,0.7383855,0.7711048,0.2819565,-0.847455,1.5353336,3.2918289,7.3692307,0.9291828793774319,0.9692307692307692,46.576977,27.83589,True,NK cell vs cDC,NK cell,cDC,1.3062730510763532
COMMD4,0.9502,0.049799999999999955,2.948657314443122,0.00026732366,0.00010758065,0.0,0.25,1.394898,1.4687548,0.9730388,-3.248598,4.481616,0.15719844,0.22051282,0.1424124513618677,0.19487179487179487,2.2732396,0.9560817,True,NK cell vs cDC,NK cell,cDC,1.3027706572402828
AMOTL1,0.95,0.050000000000000044,2.9444387896927755,1.1830865e-06,4.153397e-06,0.0,0.25,-2.217028,-2.2223043,1.6692272,-9.333145,4.904854,0.0007782101,0.015384615,0.0007782101167315176,0.015384615384615385,0.010431771,0.04372731,True,NK cell vs cDC,NK cell,cDC,1.3010299956639808
SEC22A,0.9498,0.05020000000000002,2.9402362207427024,5.3507043e-05,2.0317837e-05,0.0,0.25,1.4056642,1.4297256,0.9019355,-2.9733887,5.587367,0.030350195,0.041025642,0.028793774319066146,0.035897435897435895,0.37378028,0.1433954,True,NK cell vs cDC,NK cell,cDC,1.2992962828549806
ITGAX,0.949,0.051000000000000045,2.9235829803445967,8.4767846e-05,0.00027863876,0.0,0.25,-2.5807886,-2.7969193,2.0359914,-9.300022,8.325559,0.051361866,0.8,0.04357976653696498,0.47692307692307695,0.713944,2.8168387,True,NK cell vs cDC,NK cell,cDC,1.2924298239020633
