,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,log10_pvalue
CZIB,0.7478,0.2522,1.086913112733684,0.00018222128,0.00013516392,0.0,0.25,0.4000823,0.39405632,0.6645845,-1.6641331,2.7799034,0.14163424,0.3948718,0.1330739299610895,0.3076923076923077,2.059444,1.5276395,False,NK cell vs cDC,NK cell,cDC,0.5982549177629373
NAP1L1,0.7474,0.25260000000000005,1.0847932809264278,0.0018890161,0.0021499572,0.0,0.25,-0.24161921,-0.2184968,0.7456263,-2.9627218,2.6136675,1.2147859,6.1897435,0.6217898832684825,0.9435897435897436,16.964079,21.033209,False,NK cell vs cDC,NK cell,cDC,0.597566653780688
WDR61,0.747,0.253,1.082675670266487,0.00020878745,0.00026631047,0.0,0.25,-0.3875648,-0.4096408,0.6026558,-2.3112764,2.3359318,0.14552529,0.86153847,0.13151750972762646,0.5435897435897435,2.3350513,3.091994,False,NK cell vs cDC,NK cell,cDC,0.5968794788241821
VTI1A,0.7464,0.25360000000000005,1.079503400935529,7.9559395e-05,6.646688e-05,0.0,0.25,0.15612367,0.1510787,0.7517588,-2.5719528,2.846592,0.05680934,0.20512821,0.05603112840466926,0.2,0.8226013,1.1231337,False,NK cell vs cDC,NK cell,cDC,0.5958507507903048
UTP11,0.7462,0.2538,1.0784470795069003,0.00012082522,0.00012549548,0.0,0.25,-0.14884174,-0.15909672,0.72748554,-2.8579016,2.2737246,0.088715956,0.37435898,0.08171206225680934,0.3128205128205128,1.2697725,1.4572045,False,NK cell vs cDC,NK cell,cDC,0.595508382241314
GLRX2,0.7452,0.2548,1.0731736892021742,6.3372216e-05,5.163497e-05,0.0,0.25,0.22194424,0.20092535,0.77020407,-2.9591646,3.0142784,0.042801555,0.13846155,0.042801556420233464,0.11794871794871795,0.60185724,0.4492455,False,NK cell vs cDC,NK cell,cDC,0.5938005763366871
CYBA,0.7442,0.2558,1.0679139011119871,0.006219936,0.0084054405,0.0,0.25,-0.45886675,-0.45261168,0.5317498,-2.4882517,1.8501263,4.080934,20.579487,0.9463035019455253,1.0,58.14587,80.83187,False,NK cell vs cDC,NK cell,cDC,0.5920994598573648
RPUSD4,0.7442,0.2558,1.0679139011119871,6.1617495e-05,4.73012e-05,0.0,0.25,0.34777516,0.34855032,0.6674478,-2.194313,2.7818336,0.049805447,0.15897436,0.0490272373540856,0.14358974358974358,0.69088477,0.52261394,False,NK cell vs cDC,NK cell,cDC,0.5920994598573648
STYXL1,0.7432,0.25680000000000003,1.0626675901983416,7.681753e-05,7.2690666e-05,0.0,0.25,0.09599608,0.048423767,0.8326845,-3.3627071,3.5380344,0.040466927,0.14871795,0.03813229571984436,0.13846153846153847,0.5866111,0.5214418,False,NK cell vs cDC,NK cell,cDC,0.5904049806031842
TMEM150A,0.7428,0.2572,1.0605728116974125,5.2692132e-05,4.3208063e-05,0.0,0.25,0.1986204,0.20369244,0.73458755,-2.3471193,3.1940212,0.028793775,0.11794872,0.028793774319066146,0.11282051282051282,0.41984725,0.49732047,False,NK cell vs cDC,NK cell,cDC,0.5897290357478155
