Geneid,DZQV_mDC_rep4,925L_mDC_rep2,9JD4_mDC_rep1,G4YW_mDC_rep3,DZQV_NK_rep4,925L_NK_rep2,9JD4_NK_rep1,G4YW_NK_rep3
IGSF9B,0,0,0,0,6,5,21,22
LINC02730,0,0,0,0,0,0,0,0
LINC02731,0,0,1,0,19,0,0,4
AP000911.1,0,0,0,0,0,0,0,10
JAM3,10,2,28,9,31,44,41,45
NCAPD3,278,434,353,361,520,688,380,666
AP001775.2,0,1,3,0,0,1,0,0
VPS26B,444,560,639,267,571,1751,816,1019
THYN1,417,302,434,243,248,289,352,447
ACAD8,511,570,559,490,1058,1487,1016,1091
GLB1L3,0,0,0,0,0,2,9,12
GLB1L2,8,0,0,0,64,237,252,249
B3GAT1,0,0,0,0,150,832,404,704
AP004608.1,0,0,0,0,5,30,65,64
AP004550.1,0,0,0,0,0,0,0,0
AP001999.3,0,0,0,0,0,0,0,0
AP001999.1,0,0,0,0,0,0,0,0
AP001999.2,0,0,0,0,0,0,0,0
LINC02706,0,0,0,0,0,0,0,0
LINC02714,2,0,0,0,0,0,0,3
AP003062.2,0,0,0,0,0,0,0,0
LINC02697,0,0,0,0,0,0,0,0
LINC02717,0,0,0,0,0,0,0,0
LINC02684,0,0,0,0,0,0,0,0
FAM138D,0,0,0,0,0,0,0,0
IQSEC3,0,0,3,0,2,26,29,9
AC026369.3,9,1,0,4,0,0,0,0
AC026369.1,0,0,0,0,0,0,0,0
AC026369.2,0,0,0,0,1,1,0,0
AC007406.3,0,0,0,0,0,4,0,0
SLC6A12,151,57,92,118,0,1,0,4
AC007406.1,1,0,0,0,0,0,0,0
AC007406.4,1,0,0,0,0,0,0,0
SLC6A13,0,1,0,0,0,2,0,13
AC007406.2,0,0,0,0,0,1,0,0
AC007406.5,182,421,721,456,513,1127,790,831
KDM5A,2821,3774,3276,2907,4388,5757,3804,5463
CCDC77,109,132,128,94,192,137,158,155
B4GALNT3,0,0,0,2,0,4,0,0
NINJ2,130,73,100,80,56,19,84,112
AC006205.2,0,0,0,0,0,1,0,3
AC006205.1,0,6,7,0,0,0,2,0
AC021054.1,114,19,78,151,54,256,197,283
LINC02455,0,0,0,0,0,0,0,3
WNK1,2522,4310,2765,1931,1480,3273,2325,1782
AC004765.1,6,3,6,10,0,10,10,7
RAD52,276,227,456,333,353,384,431,369
AC004803.1,43,15,64,23,0,18,1,39
ERC1,565,716,605,506,177,645,283,460
AC004672.1,0,0,3,7,0,0,2,11
AC004672.2,0,9,4,0,9,11,0,0
LINC00942,0,0,6,0,0,0,0,0
WNT5B,3,48,30,56,0,0,0,0
FBXL14,11,15,18,13,5,24,7,16
ADIPOR2,462,582,466,430,563,881,636,672
AC005343.1,15,2,10,5,0,39,16,18
CACNA2D4,336,454,227,368,249,409,215,461
AC005343.4,0,0,0,3,9,11,0,0
LRTM2,0,0,1,0,3,0,0,0
AC005342.2,3,0,4,2,0,0,0,0
LINC00940,2,0,4,3,0,2,4,4
DCP1B,203,102,338,171,317,418,270,302
CACNA1C,12,0,1,1,10,32,8,35
AC005342.1,0,0,0,0,0,0,0,0
CACNA1C-IT1,0,0,0,0,0,0,0,0
CACNA1C-IT2,0,0,0,0,0,0,0,0
AC005344.1,0,0,0,0,0,0,0,0
CACNA1C-AS4,0,0,0,0,0,0,0,0
CACNA1C-IT3,0,0,0,0,0,0,0,0
AC005293.1,0,0,0,0,0,0,0,0
AC005414.1,0,0,0,0,0,0,0,0
CACNA1C-AS3,0,0,0,0,0,0,0,0
CACNA1C-AS2,0,4,1,7,39,24,36,52
CACNA1C-AS1,0,3,0,1,23,41,10,29
LINC02371,12,0,1,7,0,1,0,0
FKBP4,415,215,433,363,403,564,435,553
ITFG2-AS1,4,1,8,4,3,11,10,16
AC005841.1,0,0,0,0,0,0,0,0
ITFG2,680,855,802,794,1070,1186,1032,1172
NRIP2,26,64,35,96,19,129,68,88
TEX52,0,0,0,1,4,8,4,16
FOXM1,5,14,19,18,9,12,14,66
RHNO1,413,278,457,501,222,255,342,474
TULP3,72,48,156,73,343,237,147,298
AC005911.1,7,0,8,7,12,7,6,11
TEAD4,0,0,0,0,0,0,0,0
AC125807.2,0,0,0,0,0,0,0,0
TSPAN9,0,0,0,0,0,0,0,1
TSPAN9-IT1,0,0,0,0,0,0,0,0
AC005912.2,0,0,0,0,0,0,0,0
AC005865.2,0,0,1,0,0,0,0,0
LINC02827,0,0,3,0,0,0,0,0
LINC02417,0,0,0,0,0,0,0,0
PRMT8,0,0,2,0,0,0,0,0
AC005908.2,0,0,0,0,0,0,0,0
AC005908.3,0,0,0,0,0,0,0,0
CRACR2A,201,224,222,202,452,1101,613,643
AC006207.1,7,18,6,5,9,40,16,9
PARP11,735,351,419,418,427,420,328,461
AC005842.1,37,0,9,14,11,9,11,20
AC084375.1,0,0,0,0,0,0,0,0
CCND2-AS1,2,0,0,0,1,2,3,0
CCND2,1761,1354,1422,1098,7488,8790,5136,5708
TIGAR,1023,795,954,670,242,215,189,298
FGF23,0,0,0,0,0,0,0,0
FGF6,0,0,0,0,0,0,0,0
C12orf4,369,264,281,303,281,247,151,167
RAD51AP1,46,18,20,18,37,34,34,28
DYRK4,89,60,69,85,37,54,66,106
AKAP3,0,0,4,2,23,32,0,9
AC005832.1,0,0,0,0,0,0,0,0
NDUFA9,1811,1108,1465,1036,1106,867,1107,1302
GAU1,5,0,2,5,5,0,0,1
GALNT8,3,8,7,3,0,0,32,30
AC005833.2,0,0,0,0,0,11,0,6
KCNA6,0,0,0,0,0,0,0,0
AC006063.1,0,0,0,0,0,0,0,1
AC006063.3,0,0,0,0,0,0,0,0
AC006063.4,0,0,0,0,0,0,0,0
AC005906.2,0,0,0,0,0,0,0,0
KCNA1,0,0,0,0,0,0,0,0
AC006063.2,0,0,0,0,0,0,0,0
KCNA5,0,0,0,0,0,0,0,0
AC005906.3,0,0,0,0,0,0,0,0
LINC02443,0,0,0,0,0,0,0,0
AC006206.2,0,0,0,0,0,0,0,0
AC006206.1,0,0,0,0,0,0,0,0
AC007848.2,0,0,0,0,0,0,0,0
AC007848.1,0,0,0,0,0,0,0,0
NTF3,0,0,0,0,0,0,0,0
ANO2,0,0,0,0,0,0,0,0
VWF,11,0,15,1,0,0,0,5
AC005845.1,0,0,0,0,0,0,0,0
CD9,64,42,68,12,6,8,24,2
PLEKHG6,5,34,35,34,6,35,39,59
TNFRSF1A,2923,2190,3910,3229,1607,1993,1627,2356
SCNN1A,4,23,13,11,0,0,21,28
LTBR,2470,1826,3042,2776,99,59,71,44
AC005840.2,4,5,19,8,0,0,10,0
CD27-AS1,167,208,190,199,93,63,71,99
CD27,10,1,3,0,12,15,30,21
TAPBPL,1100,962,1256,1374,1302,1078,1168,2120
VAMP1,262,436,650,538,1140,1874,935,1527
AC005840.4,6,9,4,7,20,13,18,13
MRPL51,53,189,143,147,66,105,100,95
NCAPD2,370,162,392,468,1016,896,1092,1355
AC006064.5,0,0,0,0,0,0,0,0
AC006064.3,0,1,8,0,1,0,0,1
GAPDH,24945,16006,20504,17064,7621,5191,6624,9699
AC006064.4,0,0,0,0,0,0,0,0
IFFO1,965,722,1162,717,220,2489,1492,2387
AC006064.1,0,0,0,1,0,4,0,6
NOP2,1508,992,1579,1255,938,1254,1017,1296
CHD4,1639,2052,1794,1596,1863,3008,2091,2664
AC006064.2,7,18,17,12,12,24,7,19
LPAR5,188,290,381,243,474,316,271,727
ACRBP,283,393,350,278,16,33,18,88
ING4,758,643,823,869,813,504,816,824
AC125494.1,1,11,3,4,2,5,0,4
