Geneid,DZQV_mDC_rep4,925L_mDC_rep2,9JD4_mDC_rep1,G4YW_mDC_rep3,DZQV_NK_rep4,925L_NK_rep2,9JD4_NK_rep1,G4YW_NK_rep3
Z97198.1,0,0,0,0,0,0,3,0
TNFSF18,0,0,0,0,0,0,0,0
AL022310.1,0,0,0,0,2,3,0,4
TNFSF4,0,0,19,6,81,99,86,22
AL645568.1,57,64,47,39,176,189,141,249
PRDX6,1580,1785,1428,1362,822,855,620,995
SLC9C2,0,11,3,1,0,0,0,0
AL139142.1,0,0,0,0,0,0,0,0
ANKRD45,0,0,0,0,0,0,0,0
TEX50,0,0,0,0,0,0,0,0
KLHL20,295,334,427,521,482,796,694,805
CENPL,18,126,107,86,157,322,363,415
DARS2,369,244,381,185,207,223,295,267
GAS5,470,614,613,513,526,840,632,633
GAS5-AS1,8,2,19,8,9,21,15,1
ZBTB37,255,284,341,228,435,974,611,783
SERPINC1,4,1,1,1,0,0,3,10
RC3H1,2115,2042,2425,1572,1549,3189,3006,2784
RC3H1-IT1,7,4,4,7,1,5,3,2
LINC02776,16,14,9,26,0,0,0,0
RABGAP1L-DT,0,0,3,1,33,33,25,33
RABGAP1L,1748,1395,1449,1291,3573,7284,4325,5620
GPR52,0,17,0,0,0,6,0,8
RABGAP1L-IT1,13,1,8,5,4,51,15,9
Z99127.1,6,3,10,18,17,31,14,41
Z99127.4,39,56,43,43,60,38,33,42
CACYBP,1249,1059,1465,804,792,512,880,834
MRPS14,157,167,164,250,483,346,345,493
TNN,0,0,0,0,0,0,0,0
KIAA0040,1601,885,1182,1267,1186,1242,1261,1373
AL008626.1,0,0,0,0,0,0,0,0
Z94057.1,0,0,0,0,0,0,0,0
TNR,0,0,1,0,2,1,28,0
TNR-IT1,0,0,0,0,0,0,0,0
LINC01657,0,0,0,0,0,0,0,0
LINC02803,15,56,40,11,7,35,23,25
COP1,460,931,916,483,97,437,245,312
AL590723.1,1,0,0,2,4,7,4,3
AL591043.2,5,0,3,1,3,1,15,5
PAPPA2,0,0,0,0,0,0,0,0
AL031290.1,0,0,0,0,0,0,0,0
ASTN1,0,0,0,0,0,0,0,0
BRINP2,0,0,0,0,0,0,0,0
LINC01645,0,0,0,0,0,0,0,0
AL136114.1,0,0,0,0,0,0,0,0
LINC01741,0,0,0,0,0,0,0,0
SEC16B,26,14,49,7,0,0,0,0
RASAL2-AS1,0,0,0,0,0,0,0,0
RASAL2,25,201,68,10,2,7,0,0
CLEC20A,1,5,1,0,0,9,0,0
AL513013.1,0,0,0,0,0,0,0,0
TEX35,0,0,0,0,0,0,0,0
C1orf220,6,0,0,0,0,5,3,8
AL137796.1,0,0,0,0,0,0,0,2
AL449106.1,0,0,0,0,0,0,0,0
RALGPS2,95,308,81,86,66,57,103,71
ANGPTL1,9,0,2,9,0,6,1,10
FAM20B,171,170,171,253,226,126,213,253
TOR3A,2465,1999,2556,2227,823,763,834,1052
ABL2,197,249,133,242,91,245,108,263
SOAT1,2283,1907,2333,1980,1429,1818,1998,1997
AXDND1,6,0,1,0,1,0,0,2
AL160286.3,0,0,0,0,0,0,0,0
NPHS2,0,0,0,0,0,0,0,0
AL160286.2,0,0,0,0,0,0,0,0
TDRD5,0,0,0,0,0,0,0,0
AL359853.2,0,0,0,0,0,0,0,0
FAM163A,0,0,0,0,0,0,0,0
AL359853.1,0,0,0,0,0,0,0,0
LINC02818,0,0,0,0,0,7,0,0
TOR1AIP2,872,1221,1219,1108,1026,912,1039,1011
AL353708.3,16,0,8,10,16,11,10,9
TOR1AIP1,3395,2164,3090,2826,2963,2756,2241,2884
AL353708.2,0,0,0,0,0,0,0,0
AL353708.1,8,66,33,12,0,0,8,3
CEP350,1451,2804,1601,1339,960,1936,1519,1554
AL390718.1,0,0,0,0,0,0,0,0
QSOX1,1670,1594,1475,1733,608,854,427,943
LHX4,4,7,29,25,22,22,68,36
ACBD6,631,467,505,523,393,529,575,678
OVAAL,0,0,0,0,0,0,0,0
XPR1,381,440,665,506,417,715,598,516
LINC02816,0,0,0,0,0,0,0,5
KIAA1614,3,4,11,11,7,21,5,22
AL162431.1,0,15,4,13,13,21,0,11
KIAA1614-AS1,0,0,0,0,0,0,0,0
STX6,490,668,659,517,225,425,169,397
MR1,1334,1696,1037,1291,1364,1265,819,1474
IER5,194,615,142,60,95,73,51,54
LINC01732,0,0,0,0,0,0,0,0
AL358393.1,0,0,0,0,0,0,0,0
LINC01699,0,0,0,0,0,0,0,0
CACNA1E,0,0,0,0,0,0,0,0
AL161734.2,0,0,0,0,0,0,0,0
AL161734.1,0,0,0,0,0,0,0,0
ZNF648,0,0,0,0,0,0,0,0
AL355482.1,0,0,0,0,0,0,0,0
AL355482.2,0,0,0,0,0,0,0,0
LINC01344,0,0,0,0,0,0,0,0
AL390856.1,0,0,0,0,0,0,0,0
GLUL,4670,4225,4378,4310,2685,3641,3054,3267
TEDDM1,0,0,0,0,0,0,0,0
LINC00272,0,0,0,0,0,0,0,0
RGSL1,0,0,0,0,2,6,0,0
RNASEL,420,255,469,455,260,304,488,452
RGS16,0,0,0,0,9,12,12,15
LINC01686,0,0,0,0,0,0,0,0
RGS8,0,0,0,0,0,0,0,0
LINC01688,0,0,0,0,0,0,0,0
NPL,53,186,41,30,84,136,61,115
AL355999.1,2,0,0,3,0,0,0,3
DHX9,3643,3540,3253,2805,2855,4349,2520,3335
SHCBP1L,0,0,0,0,0,0,0,0
LAMC1,0,0,2,0,0,0,0,0
LAMC1-AS1,0,0,0,0,0,0,0,0
LAMC2,0,0,0,0,0,0,0,0
NMNAT2,0,0,0,0,0,0,0,0
AL354953.1,0,0,0,0,0,0,0,0
AL449223.1,0,0,0,0,0,0,0,0
SMG7-AS1,33,30,2,2,0,1,4,0
SMG7,1643,1208,1460,1155,1149,1600,907,1354
NCF2,10136,10536,10176,10740,62,124,36,94
AL137800.1,1,8,0,5,0,1,0,0
ARPC5,11534,11940,10904,11255,6680,5754,5584,6416
RGL1,432,156,272,154,5,0,0,12
APOBEC4,0,0,0,0,0,0,8,0
AL590422.1,0,0,0,0,0,0,0,0
COLGALT2,0,41,0,2,576,961,613,652
TSEN15,863,782,908,806,1291,1305,1319,1616
AL158011.1,0,0,0,0,0,0,0,0
AL445228.1,0,0,0,0,0,0,0,0
AL445228.2,0,0,0,0,0,1,0,0
C1orf21,62,91,185,33,1930,2805,2041,2024
AL078645.1,0,7,7,1,67,86,41,112
AL713852.1,0,44,6,0,198,817,450,345
AL713852.2,0,0,0,0,0,16,0,0
EDEM3,955,1038,1521,1227,615,844,845,806
NIBAN1,1963,2400,1921,1993,1002,2683,1569,1432
LINC01633,0,0,0,0,0,0,0,0
RNF2,1072,731,1239,1187,725,617,482,804
TRMT1L,347,421,525,400,199,281,264,268
SWT1,153,202,164,136,91,135,196,149
IVNS1ABP,5581,5264,5494,4492,8443,10796,7141,8945
AL078644.2,37,3,2,0,1,2,1,9
LINC01350,0,0,0,0,0,2,0,1
AL133383.1,0,0,0,0,0,23,0,2
HMCN1,0,0,0,0,0,129,0,19
AL133553.1,0,0,0,0,0,0,0,0
AL133553.2,0,0,0,0,0,0,0,0
PRG4,1,5,8,5,6,10,15,9
TPR,2321,2512,1903,1912,2421,2943,2376,3067
ODR4,613,488,486,510,334,329,304,383
OCLM,13,26,7,2,10,14,12,6
AL096803.2,2,42,36,11,23,51,38,49
PDC,0,2,4,1,0,0,0,0
AL096803.4,0,7,0,0,0,6,0,0
PTGS2,14515,8953,1375,1024,88,41,0,3
PACERR,167,143,19,22,0,0,0,0
PLA2G4A,267,273,301,310,0,37,21,5
ERVMER61-1,8,2,6,8,7,0,19,12
AL136372.2,0,0,0,0,0,0,0,0
AL596211.1,0,0,0,0,0,0,0,0
AL929288.1,0,0,0,0,0,0,0,0
AL691515.1,0,0,0,0,0,0,0,0
AL691515.2,0,0,0,0,0,0,0,0
LINC01035,0,0,0,0,0,0,0,0
LINC01701,0,0,0,0,0,0,0,0
AL591504.1,0,0,0,0,0,0,0,0
AL591504.2,0,0,0,0,0,0,0,0
BRINP3,0,0,0,0,0,0,0,0
AL354771.1,0,0,0,0,0,0,0,0
LINC01351,0,0,0,0,0,0,0,0
AL391645.1,0,0,0,0,0,0,0,0
LINC01720,0,0,0,0,0,0,0,0
AL138927.1,0,0,0,0,0,0,0,0
AL713866.1,0,0,0,0,0,0,0,0
LINC01680,0,0,0,0,0,0,0,0
LINC02770,0,0,0,0,0,0,0,0
AL359081.1,0,0,0,0,0,0,0,0
RGS18,2729,2187,2445,3027,34,42,51,17
AL390957.1,9,45,3,21,24,20,17,13
RGS21,0,0,0,0,0,0,0,0
AL136987.1,0,0,0,0,0,0,0,0
RGS1,12074,7910,3670,2477,3019,706,330,507
RGS13,7,2,2,1,0,9,4,4
AL136454.1,1,10,4,1,3,1,1,1
RGS2,17699,10724,10613,8791,2987,1125,887,1559
UCHL5,870,784,838,691,1561,1507,1388,1618
RO60,2449,2376,2896,2322,4121,5509,4589,4994
GLRX2,316,301,405,278,436,569,455,511
CDC73,1153,998,1198,506,657,1878,975,1442
B3GALT2,0,8,3,7,0,17,0,10
LINC01031,0,19,0,0,2,0,0,2
AL138778.1,0,0,0,0,6,0,0,1
AL136456.1,0,0,0,0,0,3,1,1
AL357793.1,0,0,0,0,0,0,0,0
AL357793.2,0,0,0,0,0,0,0,0
AL513348.1,0,0,0,0,0,0,0,0
AL353072.2,0,0,0,0,0,0,0,0
AL353709.1,0,0,0,0,0,0,0,0
LINC01724,0,1,0,5,0,0,0,0
KCNT2,0,0,0,0,0,0,0,0
CFH,0,0,0,5,0,12,20,64
CFHR3,0,0,0,0,0,0,0,0
CFHR1,0,0,0,0,0,0,0,0
CFHR4,0,0,0,0,0,0,0,0
CFHR2,0,0,0,0,0,0,0,0
CFHR5,0,0,0,0,0,0,0,0
F13B,0,0,0,0,0,0,0,0
ASPM,32,0,8,2,17,11,32,42
ZBTB41,180,157,363,274,254,422,356,285
CRB1,0,0,0,0,0,0,0,7
AL136322.1,0,0,0,0,0,0,0,0
DENND1B,695,1319,1414,495,746,850,951,727
AL365258.1,0,0,0,3,1,0,0,0
C1orf53,2,3,1,1,0,0,0,1
LHX9,0,0,0,0,0,0,0,0
NEK7,472,531,913,552,426,1061,650,682
AL450352.1,0,0,0,0,7,67,6,20
ATP6V1G3,0,0,0,0,0,0,0,0
AL157402.1,0,0,0,0,6,0,0,0
PTPRC,21356,21276,21392,16930,39640,56303,44531,45439
AL157402.2,98,198,120,68,31,185,110,135
MIR181A1HG,461,440,528,310,102,115,157,174
AC096631.1,0,0,0,0,0,0,0,0
LINC01222,0,0,0,0,0,0,0,1
LINC01221,0,0,0,0,0,0,0,0
AC105941.1,0,0,0,0,0,0,0,0
LINC02789,0,0,0,0,0,0,0,0
NR5A2,0,0,0,0,0,0,0,0
LINC00862,0,0,1,1,0,0,4,2
AC097065.2,0,0,0,0,0,0,0,0
AC104461.1,0,0,5,2,0,0,0,2
ZNF281,958,408,905,681,702,1257,1014,1323
AL359834.1,0,0,0,0,0,0,0,0
KIF14,3,0,0,15,0,8,0,3
DDX59,553,632,484,599,393,511,498,722
DDX59-AS1,0,0,0,0,0,0,0,0
CAMSAP2,17,53,25,44,0,0,0,0
GPR25,0,1,0,0,16,158,69,154
INAVA,0,0,0,0,0,0,0,1
KIF21B,80,203,55,75,1027,1718,1093,1309
AL358473.1,0,0,0,0,0,0,0,0
AL358473.2,0,0,0,0,0,0,0,0
CACNA1S,0,0,0,0,0,0,0,0
ASCL5,0,0,0,0,0,0,0,0
TMEM9,219,278,270,339,153,149,155,377
IGFN1,0,0,0,0,0,0,0,0
AC103925.1,0,0,0,0,0,0,0,0
PKP1,0,0,0,0,0,0,0,0
TNNT2,0,0,0,0,0,20,0,0
LAD1,8,26,15,0,0,19,0,0
AC119427.1,0,0,0,0,0,3,0,0
TNNI1,0,0,0,0,0,0,0,0
PHLDA3,0,0,14,1,10,0,0,1
AC096677.2,0,0,0,0,0,0,0,0
CSRP1,2207,2710,1808,2209,902,1063,543,1229
AC096677.1,21,66,33,38,2,17,0,22
NAV1,1156,1594,958,945,40,49,22,99
AC092800.1,0,0,0,0,0,0,0,0
IPO9-AS1,5,2,2,0,3,16,7,4
AL645504.1,5,3,8,2,0,7,0,0
IPO9,798,1337,1241,1106,1439,1929,1340,1712
SHISA4,8,12,13,7,8,1,3,16
AL513217.1,0,0,0,0,0,0,0,0
LMOD1,0,0,0,0,0,0,0,0
TIMM17A,1109,702,965,690,505,405,308,565
RNPEP,712,1213,801,920,304,490,253,471
ELF3-AS1,28,94,59,56,60,129,67,79
ELF3,65,22,21,29,1,10,10,12
AL691482.3,0,0,2,2,0,0,0,0
GPR37L1,0,0,16,17,0,20,21,15
ARL8A,114,143,129,99,55,72,65,93
PTPN7,1297,1085,1555,1025,3460,2995,2556,4821
LGR6,0,0,0,0,1563,2622,1565,2209
UBE2T,11,18,12,13,10,4,13,32
PPP1R12B,273,182,293,314,335,541,344,430
SYT2,43,19,24,9,0,31,34,49
AC104463.2,6,4,3,2,0,9,3,5
AC104463.1,0,0,0,0,0,0,3,0
KDM5B,250,441,615,467,809,944,927,579
AC098934.4,0,0,0,1,0,0,0,0
PCAT6,0,4,0,1,1,4,4,1
RABIF,330,516,402,328,483,667,488,430
KLHL12,1019,938,1148,1179,895,1302,791,1042
ADIPOR1,2800,2320,2856,2761,1931,2284,1650,2315
CYB5R1,793,626,692,800,403,671,376,650
TMEM183A,667,519,764,538,565,958,941,1011
PPFIA4,269,206,183,369,14,41,1,2
MYOG,0,0,0,0,0,0,0,0
ADORA1,16,34,43,24,0,0,0,0
AC105940.2,0,0,0,0,0,0,0,0
AC105940.1,0,0,0,0,0,0,0,0
MYBPH,0,0,0,0,0,0,0,0
CHI3L1,0,0,1,0,1,0,0,0
CHIT1,10,0,0,0,1,0,0,0
LINC01353,36,71,11,6,5,7,3,7
LINC01136,45,61,21,12,28,7,6,14
BTG2,8896,5239,2136,2307,5224,3483,1421,2412
FMOD,0,0,0,0,0,0,0,0
PRELP,0,0,0,0,0,0,0,0
OPTC,0,0,0,0,0,0,0,0
ATP2B4,1303,1788,2225,1944,5350,10576,7555,8710
LAX1,3,0,11,0,832,2612,1608,1873
ZC3H11A,11,12,8,9,18,48,25,31
ZBED6,7,3,5,1,4,4,5,3
SNRPE,98,252,175,154,94,86,97,106
AC096645.1,0,0,0,0,0,0,0,0
LINC00303,0,0,0,0,0,9,0,0
AL592146.2,0,0,0,0,0,0,0,0
SOX13,0,0,0,0,96,157,160,164
AL592146.1,0,0,0,0,0,0,0,0
ETNK2,0,0,0,0,14,35,25,41
ERLNC1,0,0,0,0,0,0,0,0
REN,0,0,0,0,0,0,0,0
KISS1,0,0,0,0,0,0,0,0
GOLT1A,0,0,0,0,0,0,0,0
PLEKHA6,136,53,104,50,0,5,8,0
AL592114.3,0,0,0,0,0,0,0,0
LINC00628,0,0,4,0,0,0,0,0
AL606489.1,0,0,0,0,0,0,0,0
PPP1R15B,3839,4430,2196,1608,1859,2421,1330,1876
PIK3C2B,75,189,130,153,132,185,177,265
MDM4,2969,3308,3181,2961,2700,3316,2421,3155
AL512306.3,35,4,10,11,9,29,2,14
LRRN2,6,6,10,3,19,28,17,18
AL512306.2,4,2,16,32,38,27,8,39
AL161793.1,0,0,0,0,0,0,0,0
AC096675.1,0,0,0,0,0,0,0,0
NFASC,0,0,0,0,0,12,0,5
CNTN2,1,0,0,1,2,0,0,1
TMEM81,27,56,23,10,7,34,13,54
RBBP5,696,579,890,597,923,943,921,1009
DSTYK,276,362,641,541,534,530,605,702
TMCC2,0,1,2,13,48,33,1,6
AC093422.2,0,0,0,0,0,0,0,0
NUAK2,466,547,744,985,313,592,490,1138
KLHDC8A,0,0,0,0,9,0,0,0
LEMD1-AS1,0,0,0,0,0,0,0,2
LEMD1,0,0,0,0,0,0,0,0
BLACAT1,0,0,0,0,0,0,0,19
LEMD1-DT,0,0,0,0,0,0,0,1
CDK18,201,77,115,148,41,2,6,16
MFSD4A,19,15,26,12,31,41,11,25
ELK4,1110,1203,1080,1246,1035,1877,1307,1865
SLC45A3,7,0,5,9,11,7,3,2
NUCKS1,1236,1398,1460,1231,1700,1780,1896,2073
RAB29,1455,1140,1115,1040,2874,2852,3073,3618
AC119673.1,4,2,0,0,0,0,0,5
SLC41A1,35,62,0,22,479,1113,570,849
AC119673.2,0,0,0,1,0,0,0,0
PM20D1,0,0,0,5,66,101,65,75
SLC26A9,0,0,0,0,0,0,0,0
AL713965.1,0,0,0,0,0,0,0,0
RAB7B,92,170,354,131,0,0,0,5
CTSE,0,4,7,0,0,0,0,0
RHEX,21,77,91,47,28,6,7,1
AVPR1B,0,0,0,0,0,0,0,0
AC244035.1,0,0,0,0,0,0,0,0
AC244035.4,0,0,0,0,0,0,0,0
AC244035.2,0,0,0,0,0,0,0,0
FAM72A,19,47,30,23,2,2,0,0
SRGAP2,1409,1616,1279,1197,387,380,344,361
IKBKE,723,249,178,480,977,1095,816,1164
C1orf147,38,9,18,25,9,64,38,114
AC244034.2,1,14,0,0,0,17,0,1
RASSF5,5460,4568,4773,3670,9454,13048,10299,11475
EIF2D,926,867,971,1258,631,682,647,788
AL591846.2,0,1,0,0,0,5,0,1
DYRK3,5,9,3,0,0,0,0,0
MAPKAPK2,62,199,39,46,36,79,63,55
IL10,131,51,9,19,0,0,0,0
IL19,16,15,2,0,0,0,5,0
IL20,0,0,0,0,0,0,3,0
IL24,0,0,0,1,58,34,53,84
FCMR,125,38,79,68,4990,3098,3865,5816
PIGR,74,0,9,9,25,0,0,0
FCAMR,0,0,0,0,0,0,0,0
C1orf116,0,6,0,0,0,1,0,0
PFKFB2,195,170,305,227,197,51,145,185
YOD1,195,231,140,215,223,271,224,314
C4BPB,0,0,0,0,0,0,0,2
C4BPA,4,0,0,0,0,0,0,0
AL445493.3,0,0,0,0,0,1,0,0
AL445493.2,0,0,0,0,0,3,0,0
AL596218.1,5,0,0,1,0,5,0,0
CD55,3977,3278,3461,2853,1766,1483,1933,1664
AL391597.1,0,0,0,0,0,0,0,0
CR2,8,0,0,1,0,0,23,0
CR1,57,132,65,131,1,2,1,0
AL137789.1,1,1,0,3,0,1,0,0
CR1L,1,0,0,1,0,0,0,0
AL137789.2,0,0,0,0,0,0,0,0
CD46,3675,3532,3809,3317,3137,4690,3774,3905
MIR29B2CHG,371,695,223,203,95,222,61,113
CD34,9,31,1,4,0,0,0,0
AL356275.1,0,0,0,0,0,0,0,0
LINC02767,0,0,5,14,0,0,0,0
PLXNA2,0,11,89,29,1,114,13,60
AL590138.1,0,0,0,0,0,7,0,0
AL606753.2,0,0,0,0,0,0,0,0
LINC01735,0,0,0,0,0,0,0,0
LINC02769,0,0,0,0,0,0,0,0
LINC01717,0,0,0,0,0,0,0,0
LINC01774,0,0,0,0,0,0,0,0
AC092810.4,0,0,0,0,0,0,0,0
AC092810.3,0,0,0,0,0,0,0,0
LINC01696,0,0,0,0,0,0,0,0
LINC01698,0,0,0,0,0,0,0,0
MIR205HG,0,0,0,0,0,0,0,0
AL023754.1,1,0,0,0,0,0,0,0
AL023754.2,2,0,0,0,0,0,0,0
CAMK1G,15,0,0,0,0,0,0,0
LAMB3,149,156,50,133,0,41,19,0
HSD11B1-AS1,22,1,2,3,3,2,7,6
G0S2,4733,873,174,233,22,8,1,2
HSD11B1,7,6,0,0,0,6,5,2
TRAF3IP3,2749,3017,2820,3630,5073,6081,5224,7786
C1orf74,32,14,54,49,44,48,66,88
IRF6,0,0,47,5,144,95,134,71
UTP25,499,391,531,386,476,426,536,475
SYT14,0,0,0,0,0,0,0,0
AL022397.1,0,0,0,0,0,0,0,0
SERTAD4-AS1,0,0,0,0,0,0,0,0
SERTAD4,0,0,0,0,0,0,0,0
HHAT,30,2,98,58,33,6,23,17
AL034351.4,0,0,0,0,0,0,0,0
AL034351.3,0,0,0,0,0,0,0,0
KCNH1,2,0,0,0,4,0,0,0
AC092017.4,0,0,0,0,0,0,0,0
KCNH1-IT1,0,0,0,0,0,0,0,0
RCOR3,684,792,965,659,920,989,974,952
TRAF5,280,389,428,310,1839,1515,1604,2162
AL590101.1,1,9,0,0,0,4,1,1
LINC00467,10,14,31,26,39,20,26,14
RD3,0,0,0,0,0,0,0,0
AC105275.1,0,0,0,0,0,0,0,0
SLC30A1,218,374,473,341,65,177,153,108
AC105275.2,4,0,0,0,0,0,0,0
AL356310.1,0,0,0,0,0,0,0,0
LINC01693,0,0,0,0,0,0,0,0
NEK2,0,0,0,10,25,4,8,3
AC096637.2,0,0,0,0,10,0,0,0
AC096637.1,0,0,0,0,0,0,0,0
LPGAT1,1612,1773,1573,1303,1073,1277,1193,1199
LPGAT1-AS1,0,0,0,0,0,1,0,0
INTS7,527,242,393,482,636,619,780,540
DTL,1,8,25,28,75,74,46,78
AL606468.1,0,0,0,0,1,0,0,1
LINC02608,4,0,0,0,0,0,0,0
PPP2R5A,340,659,312,347,668,1001,796,732
AL360091.2,1,0,4,8,0,49,17,23
AL360091.3,1,0,2,0,0,6,5,1
AL360091.1,0,10,26,6,6,4,17,16
PACC1,1088,976,901,861,381,314,302,393
AC092803.3,0,0,0,0,0,0,0,0
NENF,15,14,62,29,1,26,12,20
LINC02771,0,0,0,0,0,0,0,0
AC092803.2,0,0,0,0,0,0,0,0
LINC01740,3,2,0,0,0,0,0,0
AC092803.1,82,38,40,9,1,3,5,12
AC092803.4,2,0,3,0,0,0,0,0
ATF3,2358,974,431,287,117,49,8,14
AL590648.2,0,0,0,0,0,0,0,0
FAM71A,3,0,0,0,0,0,0,0
LINC02773,90,66,43,68,0,1,0,4
BATF3,130,314,192,70,0,0,1,12
NSL1,787,784,847,700,437,850,647,595
TATDN3,440,324,507,491,176,139,132,154
SPATA45,0,0,1,0,0,1,0,2
FLVCR1-DT,32,70,19,17,8,29,27,18
FLVCR1,252,396,286,311,96,151,122,154
AC104333.4,0,0,0,0,0,1,0,0
VASH2,1,0,3,1,0,26,0,3
ANGEL2,713,725,985,874,829,949,1145,1121
RPS6KC1,1140,826,1551,1041,519,944,476,585
AL592402.1,0,0,0,0,0,2,0,0
AC096639.1,0,0,0,0,0,0,0,0
PROX1-AS1,0,0,0,0,0,0,0,0
LINC00538,0,0,0,0,0,0,0,0
PROX1,0,0,1,5,0,0,0,0
AC011700.1,0,0,0,0,0,0,0,0
AL606537.1,0,0,0,0,0,0,0,0
LINC02775,0,0,0,0,0,0,0,0
SMYD2,385,257,474,242,454,850,594,801
AL929236.1,0,0,4,0,0,0,0,2
PTPN14,0,0,9,3,0,28,11,13
CENPF,51,41,20,34,1,26,42,16
AC099563.2,0,0,0,0,0,0,0,0
KCNK2,0,0,0,0,0,0,0,0
AL450990.1,0,0,0,0,0,0,0,0
KCTD3,67,188,86,143,1,2,5,36
USH2A,0,0,3,0,0,0,0,0
AL358452.1,0,0,0,0,0,0,0,0
AC093581.1,0,0,0,0,0,0,0,0
AC138024.1,0,0,0,0,0,0,0,0
ESRRG,0,0,0,0,0,0,0,0
GPATCH2,299,166,393,158,255,223,113,167
SPATA17,0,0,1,0,0,0,0,10
SPATA17-AS1,0,0,0,0,0,0,0,0
LINC00210,0,0,0,0,0,0,0,0
AL355526.1,0,0,0,0,0,0,0,0
LINC01653,0,0,0,0,0,0,0,0
AL355526.2,0,0,0,0,0,0,0,0
RRP15,287,257,434,276,319,171,304,291
TGFB2-AS1,0,0,0,0,0,0,0,0
TGFB2,0,21,7,15,0,0,0,0
TGFB2-OT1,0,0,0,0,0,0,0,0
C1orf143,0,0,0,0,0,0,0,0
LINC01710,0,0,0,0,0,0,0,0
LYPLAL1-DT,1,0,0,1,10,1,1,1
LYPLAL1,141,207,182,193,111,94,115,90
AL360093.1,2,5,0,9,9,3,1,6
AC096642.1,2,0,6,0,0,1,1,7
AC096642.2,0,0,4,0,0,0,3,0
LYPLAL1-AS1,0,0,3,0,0,0,0,3
AL356364.1,0,0,0,0,0,0,0,0
ZC3H11B,1,1,1,1,5,7,2,2
SLC30A10,0,0,0,0,0,4,0,0
EPRS,2073,2066,2149,1852,1430,2129,1922,2059
BPNT1,253,146,162,147,193,182,115,221
IARS2,1935,1380,1758,1681,1328,2628,2077,2073
RAB3GAP2,607,845,1114,678,1211,1446,1132,1634
AL451081.1,0,0,0,0,0,0,0,0
AC096644.3,0,0,0,0,0,0,0,0
LINC02779,0,0,0,0,0,0,0,0
MARK1,0,0,0,0,0,0,0,0
C1orf115,22,69,3,21,2,0,0,2
MARC2,0,0,0,0,0,0,0,6
MARC1,83,24,22,55,0,1,0,6
RNU6ATAC35P,0,0,0,0,0,0,0,0
AL445423.1,0,7,0,6,0,0,0,0
LINC01352,2,2,4,9,0,0,0,0
HLX-AS1,0,0,0,1,0,0,0,0
HLX,278,193,198,245,0,8,2,4
LINC02817,0,0,0,0,0,0,0,0
AL360013.2,0,0,0,0,0,0,0,0
AL360013.3,0,0,0,0,0,0,0,0
AL360013.4,0,0,0,0,0,0,0,0
DUSP10,648,549,540,392,753,481,384,314
LINC01655,0,0,0,0,0,0,0,0
LINC02257,0,0,0,0,0,0,0,0
LINC02474,0,0,0,0,0,0,0,0
LINC01705,0,0,0,0,0,0,0,0
AL356108.1,0,0,0,0,0,0,2,0
AL513314.1,0,0,0,0,0,0,0,0
AL513314.2,11,17,14,11,4,23,10,10
HHIPL2,0,0,0,7,0,0,2,0
TAF1A,88,110,115,74,160,159,149,128
TAF1A-AS1,18,1,1,1,22,7,0,17
MIA3,1063,1397,1411,895,827,1827,1387,1597
AL592148.3,42,19,42,30,26,84,74,138
AIDA,148,177,163,77,139,268,192,165
BROX,2034,2707,2152,2218,2136,2132,2214,1946
FAM177B,5,0,0,0,0,0,12,3
AL392172.2,0,0,0,0,0,0,0,0
AL392172.1,3,15,5,10,17,12,8,24
DISP1,35,33,117,31,40,152,23,141
AL929091.1,7,0,0,57,0,0,0,0
TLR5,1238,1316,1045,1232,35,0,6,2
AL359979.2,0,0,1,0,0,0,0,0
AL359979.1,3,0,0,0,0,0,0,0
SUSD4,0,0,0,0,0,28,0,0
CCDC185,0,0,0,0,0,0,0,0
CAPN8,4,0,0,0,11,23,9,2
CAPN2,11321,8079,10512,8999,6417,10479,6486,9124
TP53BP2,261,570,267,282,233,373,259,279
AC138393.3,6,10,7,4,1,21,10,7
FBXO28,623,522,511,607,323,518,542,519
DEGS1,4328,3959,5084,4034,953,967,1001,1010
AC092809.2,2,5,24,6,0,0,0,0
AC092809.4,0,9,4,4,6,1,0,1
NVL,306,270,363,349,304,394,339,434
CNIH4,291,288,309,345,350,476,314,415
WDR26,674,1437,705,751,966,1308,891,956
CNIH3,0,2,2,1,6,5,10,9
AC096537.1,0,0,0,0,0,0,0,0
AL596330.2,0,0,0,0,0,0,0,0
AL596330.1,0,0,0,0,0,0,0,0
LINC02813,0,0,0,0,0,0,0,0
AL391811.1,0,0,0,0,0,0,0,0
DNAH14,5,7,21,6,28,42,32,13
LBR,2831,3020,3386,3075,4084,5422,4845,4415
LINC02765,0,0,0,0,4,1,0,22
AC092811.1,0,0,0,0,0,2,1,2
ENAH,11,35,0,0,20,13,20,18
AC099066.2,0,0,0,0,0,0,0,2
AC099066.1,0,0,0,0,0,0,0,0
SRP9,3247,2788,3346,3363,2510,2085,2691,2983
EPHX1,62,31,48,38,28,42,27,27
AL591895.1,36,23,26,34,57,41,38,45
TMEM63A,1029,552,644,1041,1739,2155,1567,2591
LEFTY1,0,0,0,0,0,1,0,0
PYCR2,955,742,1034,696,933,1020,1161,1323
AL117348.1,0,0,0,0,0,0,0,0
LEFTY2,0,0,0,0,0,0,0,0
SDE2,585,446,561,476,1036,860,805,677
AL512343.2,5,3,17,6,1,0,0,0
H3F3A,907,858,979,603,276,612,322,485
