"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LINC01786",2.66720992656183,0.0186785814500023,0.836915853481393,0.970633844419966,0.981300150402603
"SCNN1D",30.757516460297,0.494495058087348,0.476404693170764,0.240856790831467,0.366439709008185
"ACAP3",123.949478216166,-0.529990791641273,0.594564170301426,0.27421823758526,0.405877593296542
"PUSL1",96.0862744283635,-0.217287540880294,0.366770072743422,0.523345853106725,0.654659888331926
"INTS11",1396.94728392553,-0.0810080400022835,0.204218284807896,0.683417707867807,0.786846422996319
"AL139287.1",2.63475669459034,0.0685082008360845,0.898533959114536,0.875657817277605,0.921982940514226
"CPTP",84.8912696021385,0.5271519923394,0.4532351584218,0.194675162354014,0.313054875080124
"TAS1R3",14.942053703775,1.90528677106347,1.21488954188393,0.0134534828390218,0.0354180061611391
"DVL1",27.0899516946981,-0.737965402481028,0.638259653168326,0.147873038745836,0.253751594695242
"MXRA8",1.50889865899373,-0.144892153484626,0.93947250089231,0.707619872868631,0.805031810268441
"AURKAIP1",144.599932089305,-0.0496455079820404,0.299521363297504,0.860494859836787,0.91211338737755
"CCNL2",2761.33155462462,0.705705310112845,0.228689335741271,0.00151996607578639,0.00520180950225364
"MRPL20-AS1",476.362580047367,0.778588392053517,0.354210655886628,0.0188464230888286,0.0472558007389626
"MRPL20",248.394259481919,-0.0772271203598197,0.23968948453879,0.737773336887409,0.827969890002087
"AL391244.2",3.17020069779995,0.326694051179781,1.00095362271317,0.401558578154711,0.543055621047687
"ANKRD65",13.7978778079128,-6.08267406302188,1.53648249177337,6.77686250052278e-07,4.40554746829967e-06
"AL391244.1",0,NA,NA,NA,NA
"TMEM88B",0,NA,NA,NA,NA
"LINC01770",1.10139487017634,-0.269823445367694,1.06502951619126,0.289873863801601,NA
"VWA1",0,NA,NA,NA,NA
"ATAD3C",3.99347530777458,0.44186088562391,0.838866264799046,0.404709560649745,0.546294973656521
"ATAD3B",160.864145580707,0.273761730086895,0.359509403454946,0.417139382346348,0.558287950358429
"ATAD3A",78.2003653453255,-0.242257012227313,0.335864448245237,0.443268741864056,0.583071751282914
"TMEM240",0,NA,NA,NA,NA
"SSU72",1004.94576798821,-0.143914354518072,0.266173359975061,0.57296897818873,0.697372359445271
"AL645728.1",17.8834305068273,-1.95000125304117,0.891894597255448,0.00438089859059766,0.0133019741185041
"FNDC10",2.15898618441304,-0.715244469006814,1.31035855729752,0.0850308503580095,0.164352111176017
"AL691432.4",7.00601169600495,0.142678066474419,0.870009420700759,0.762792488104297,0.845405067718286
"AL691432.2",31.4853732517343,-0.656871997861647,0.55428255778114,0.160193684125566,0.269933117585618
"MIB2",107.331984677488,1.83874285969216,0.615663468392253,0.000565502337089944,0.00215411972041893
"MMP23B",6.90895676195622,2.10896223475258,1.1107775843421,0.00730137021537836,0.0208985993903036
"CDK11B",181.63305230863,0.496392917040172,0.304812678600437,0.0878113343558366,0.168926109388104
"FO704657.1",0.112626750360043,-0.154513472221017,1.01768884105003,0.836090495513645,NA
"SLC35E2B",752.791126668688,1.19981147851702,0.194811239849205,3.4598372081334e-10,3.38905139468933e-09
"CDK11A",210.230563649289,0.607451634188861,0.283893720196612,0.0257139120564527,0.0614462314076272
"SLC35E2A",202.565671485066,0.984297984723422,0.568423098842734,0.0411815421574954,0.0909823641214683
"NADK",1178.73343633351,-1.23020511892394,0.237637593662278,1.00278712840185e-07,7.30602050692776e-07
"GNB1",995.322701728265,-1.07469610396439,0.344543174217781,0.000894677749984782,0.00324469797327814
"AL109917.1",0.563133751800217,-0.247298043876748,1.0513178555021,0.440829730728645,NA
"CALML6",0.779035746533348,0.167251423644752,1.00974922247234,0.535260128441942,NA
"TMEM52",0.789658677215375,0.257954614112114,1.05672264968663,0.363024023923963,NA
"CFAP74",0,NA,NA,NA,NA
"AL391845.2",0,NA,NA,NA,NA
"GABRD",0.263219559071792,0.201692074470913,1.03024246282441,0.658792766919124,NA
"AL391845.1",0,NA,NA,NA,NA
"PRKCZ",39.3791683846003,1.91354473982391,0.583780093538185,0.000205144585940201,0.000857990275859104
"AL590822.2",2.57122700217745,1.98840181249738,6.20666682346786,0.0173585574594031,0.0440409221949406
"PRKCZ-AS1",12.8557163616742,1.00088157931586,0.862774198800533,0.0932723677915297,0.177431157380035
"FAAP20",95.6542173259218,0.199821379733845,0.295699006810979,0.482170351753852,0.618506811681791
"AL590822.1",0.241711860185303,0.197655834673701,1.02875151483093,0.680552886318942,NA
"SKI",32.3290260298085,0.503190573277222,0.460522704946798,0.221250529024876,0.344428494420942
"AL590822.3",2.79105972565555,0.839987835350256,1.56541089496577,0.0314598549314228,0.0728396937272321
"MORN1",72.380444389543,-0.102444921740782,0.342730120008579,0.748932315609221,0.835277231390372
"AL589739.1",0,NA,NA,NA,NA
"AL513477.2",7.20512056243798,-0.194776225616969,0.703140707169739,0.701505018450912,0.800209456408358
"RER1",930.205668344908,-0.019637270134638,0.188278275111063,0.916322592503938,0.949144125841046
