"","DZQV_mDC_rep4","925L_mDC_rep2","9JD4_mDC_rep1","G4YW_mDC_rep3","DZQV_NK_rep4","925L_NK_rep2","9JD4_NK_rep1","G4YW_NK_rep3"
"ZNF639",7.83276660053039,7.79654091654302,7.59437327953954,7.44596752610306,6.99259511959067,7.58292521256712,7.89848828538649,7.86717169112862
"AC007823.1",1.35550205288661,1.69669046716822,2.10149975220741,1.12684793158296,2.05024717845367,1.1061702593684,3.06511136776698,1.63519070029718
"MFN1",8.85260830861753,8.28556824379686,8.65975296452183,8.2989691723451,8.31902062791232,8.70407857145251,8.281360973676,8.5436822059419
"GNB4",10.5002547094158,9.94469481487893,10.2496443669883,10.2367071402494,5.67252975406548,5.67911477600144,5.46805970757175,5.61471549429373
"AC007620.2",0,0,0,0,0,0,0,0
"AC007620.3",0.393750618405629,0.393424888472893,0.825102973829328,0.397152916753385,0.607718073632769,1.0172344598717,0.396029479939801,1.35277378517836
"ACTL6A",9.96129173809413,10.0713174214102,10.0364073260523,10.1958166343748,9.8347184537832,9.3876454206629,9.96069435108111,9.35416262189283
"AC090425.3",2.72200161423351,1.45501381233308,2.43176216348229,1.9176729316541,1.47794996545812,2.11366157723983,3.31155529657773,2.80136125347563
"AC090425.2",1.60198455108935,1.16398764435176,2.00045096762358,1.35512477847375,1.78288707983235,1.45035267976997,1.92870433628441,1.64973015051543
"MRPL47",7.7561809524162,7.73081977096139,7.65786427246989,7.54521728646626,7.66470627849648,6.42667918072086,7.41556829117438,7.22822504169535
"NDUFB5",9.95625444375072,9.73090941502277,9.6132588701056,9.85777975428272,8.14802618593019,8.30066463202119,7.67956486598335,8.64163379986839
"USP13",5.85347247908695,8.05692130511028,7.84551323094979,6.95490205621102,3.54925526025871,7.10739390045156,5.87458919133501,5.76491552331514
"PEX5L",0.147636131001901,0.14723381288007,1.50767518570602,0.151824972950992,0.154721914474659,0.505063633315528,0.709533862167301,0.141995083023337
"AC007687.1",-1.76859498277152,-1.62991078400397,-1.77152182716277,-1.76492670778702,-1.7625319828553,-1.77230994301861,-1.76610711905318,-1.77399909134529
"PEX5L-AS1",0,0,0,0,0,0,0,0
"PEX5L-AS2",0,0,0,0,0,0,0,0
"AC092939.1",0,0,0,0,0,0,0,0
"LINC02053",0,0,0,0,0,0,0,0
"AC125618.1",-2.11595013995399,-2.1161225366853,-2.1173267062256,-2.11422486079883,-2.11309856328174,-2.08499789810901,-2.1147800369949,-2.11849182396459
"TTC14",9.36580347549545,9.66786490034896,9.47687087720466,9.3950292994334,10.5499458949468,10.1055164896211,10.6034707773101,9.86775303479445
"CCDC39",3.97399348340421,4.68078859287638,4.35163497792256,4.06888856352306,4.5999816601851,4.71007812958936,3.46678029996918,4.63257145583607
"CCDC39-AS1",0,0,0,0,0,0,0,0
"AC108734.4",0,0,0,0,0,0,0,0
"FXR1",9.74187115616798,9.74600049438036,9.96057179281956,9.79215000876926,9.34870261917649,9.69250131908125,9.51785813497302,9.43526515367864
"DNAJC19",7.61041580417023,7.22189104362635,7.47414601410097,7.44059789266671,7.65627751932371,7.74137323378268,7.35449449748108,8.03863535499304
"SOX2-OT",0.682015628607952,0.681125690560441,1.26929898334195,0.691222856727037,0.697529716486,1.51129539418112,2.71067758704964,1.37030262089217
"AC068308.1",-1.01828290101305,-1.01842642480036,-1.01939862795417,-1.01607560406133,-1.01456206271656,-0.145655664991069,-1.01681102104081,-1.02028999717979
"AC125613.1",0,0,0,0,0,0,0,0
"SOX2",0,0,0,0,0,0,0,0
"LINC01206",0,0,0,0,0,0,0,0
"AC012081.2",0,0,0,0,0,0,0,0
"AC012081.1",0,0,0,0,0,0,0,0
"AC109131.1",0,0,0,0,0,0,0,0
"AC084211.1",0,0,0,0,0,0,0,0
"LINC01994",0,0,0,0,0,0,0,0
"LINC01995",0,0,0,0,0,0,0,0
"AC021055.1",0,0,0,0,0,0,0,0
"LINC02031",0,0,0,0,0,0,0,0
"AC083801.2",0,0,0,0,0,0,0,0
"AC069431.1",-0.373626040480816,-0.215484323004373,-0.374723194941447,-0.198281055660853,-0.371108837555066,-0.375006176340994,-0.203450475614474,0.244650610616364
"ATP11B",9.22659240570008,9.94604608385137,9.53636085434007,9.41918697954226,10.4398395164416,10.6271702214733,10.4374443860265,10.3123064324814
"AC092953.2",3.18077353289465,2.21655765621942,2.82000255487171,3.69662981118345,3.47876885076343,3.98198605994887,4.06184233389594,3.78021741139022
"DCUN1D1",10.3600023471554,10.5758772998661,10.5894475679619,10.2679758927364,10.1275619215297,10.0753244945928,10.4016744398652,9.74471297197341
"MCCC1",9.90808776046024,9.64677047599302,9.83529363309291,10.0029074045151,8.54981538216318,9.13747194150613,9.35496882359589,8.94626799217413
"MCCC1-AS1",1.60955762384702,1.38927855687899,2.71862501928676,3.01459956812859,2.26573878229603,2.00980732268281,1.96341905846127,1.86937290826319
"LAMP3",7.50665995115093,6.26995664520435,6.99089748234581,6.22540778715096,5.01410075800243,1.4909285090587,1.6407010073777,4.33478097229544
"MCF2L2",0.543952649022398,0.538349343264447,0.499145032479189,0.599872451021654,2.70501339018488,5.88919178825945,0.581911198068458,5.11456263128927
"B3GNT5",6.92804022111577,7.38424767186901,7.08108035235116,6.20324033764669,1.82768410132898,3.46054785478997,4.13394642629713,4.66414740540386
"KLHL6",10.1881536359634,9.93273878450699,10.0673787203446,10.1005043849566,8.12176963571951,8.48792973837804,8.46577611532832,7.82885980964655
"KLHL6-AS1",2.69574969735176,3.03323785698006,2.22727603989524,2.76756099101563,1.49986979811681,1.4691194641409,2.41369360267327,1.96504465210383
"KLHL24",9.02738787478269,9.51473684772065,9.5518607221384,9.56787276438287,10.2039499847767,10.3675558925782,10.4964513779617,10.1226241322833
"YEATS2",9.67363537410508,9.79773011522258,9.78703676087225,9.39926052663033,9.5207932217791,9.8295946584025,9.26472856284762,9.31461117144648
